,agent,step,test_id,avg_reward,std_reward
0,fuzzy_ia2c,720,-1,-990.9905555555555,818.9698365899295
1,fuzzy_ia2c,1440,-1,-763.8791666666667,494.36920954257465
2,fuzzy_ia2c,2160,-1,-1018.0283333333335,852.1692433480179
3,fuzzy_ia2c,2880,-1,-951.5675000000001,714.9818581998156
4,fuzzy_ia2c,3600,-1,-926.7330555555557,595.6361994788031
5,fuzzy_ia2c,4320,-1,-845.9388888888889,547.0302872367498
6,fuzzy_ia2c,5040,-1,-929.6950000000002,691.1354091296276
7,fuzzy_ia2c,5760,-1,-930.8436111111112,587.954149420083
8,fuzzy_ia2c,6480,-1,-1044.3038888888889,873.3340681844168
9,fuzzy_ia2c,7200,-1,-1259.4108333333331,1013.7392239977339
10,fuzzy_ia2c,7920,-1,-749.4324999999999,427.77900213307834
11,fuzzy_ia2c,8640,-1,-1418.9022222222225,1403.0054314837273
12,fuzzy_ia2c,9360,-1,-827.0111111111111,552.9971605200246
13,fuzzy_ia2c,10080,-1,-756.3669444444444,477.1260909126145
14,fuzzy_ia2c,10800,-1,-1055.2358333333334,884.9808299834492
15,fuzzy_ia2c,11520,-1,-1123.5930555555558,929.5305059883111
16,fuzzy_ia2c,12240,-1,-1463.7277777777779,1343.625447894016
17,fuzzy_ia2c,12960,-1,-1028.4197222222222,891.1802093603058
18,fuzzy_ia2c,13680,-1,-1398.3897222222224,1328.1625532855242
19,fuzzy_ia2c,14400,-1,-945.1816666666667,862.4204211259147
20,fuzzy_ia2c,15120,-1,-1333.855,1168.15384378633
21,fuzzy_ia2c,15840,-1,-776.6816666666666,517.763620452315
22,fuzzy_ia2c,16560,-1,-1366.1202777777778,1263.789407795254
23,fuzzy_ia2c,17280,-1,-914.811388888889,666.2504536861194
24,fuzzy_ia2c,18000,-1,-665.098888888889,382.2341870850163
25,fuzzy_ia2c,18720,-1,-822.1486111111111,526.9705517528828
26,fuzzy_ia2c,19440,-1,-679.7377777777778,389.83145306024466
27,fuzzy_ia2c,20160,-1,-876.1611111111112,541.2726364154195
28,fuzzy_ia2c,20880,-1,-972.3716666666667,766.3951619812937
29,fuzzy_ia2c,21600,-1,-1196.128888888889,1056.9109029246447
30,fuzzy_ia2c,22320,-1,-1028.8016666666667,869.3446314433905
