,episode,time_sec,step,action,reward
0,1,5,1.0,"3,0,3,0,2,0,2,0,4,0,2,4,1,1,4,1,1,0,4,3,3,4,4,0,0",-1.0
1,1,10,2.0,"4,1,0,4,3,2,2,2,2,3,0,4,0,1,0,2,4,4,1,2,4,3,0,3,1",-6.4
2,1,15,3.0,"3,1,0,0,4,2,0,2,3,0,1,1,4,0,4,2,2,4,4,0,3,0,2,2,3",-11.4
3,1,20,4.0,"3,2,0,0,2,4,1,0,3,0,1,2,1,2,2,3,3,0,0,3,2,1,0,0,2",-15.399999999999999
4,1,25,5.0,"3,0,0,0,1,4,3,0,0,3,1,1,2,0,2,2,3,4,4,0,3,0,0,2,0",-25.8
5,1,30,6.0,"3,0,0,0,0,0,0,2,4,4,1,3,2,0,0,2,3,4,3,0,0,1,2,4,2",-29.6
6,1,35,7.0,"3,0,0,4,0,0,3,1,4,0,0,0,3,0,0,2,1,4,4,3,2,1,3,4,0",-42.800000000000004
7,1,40,8.0,"3,3,0,2,0,1,2,1,3,0,0,1,2,0,0,3,1,4,0,2,2,4,0,3,1",-54.800000000000004
8,1,45,9.0,"3,0,4,4,4,4,4,3,0,2,2,0,4,2,0,2,2,4,2,0,2,1,0,0,3",-41.400000000000006
9,1,50,10.0,"3,0,2,4,3,2,0,0,0,3,0,2,2,0,1,0,2,3,2,0,2,0,1,0,4",-42.4
10,1,55,11.0,"3,0,0,0,2,0,2,2,3,0,0,2,2,0,3,1,3,4,4,1,3,3,0,2,2",-52.800000000000004
11,1,60,12.0,"3,1,0,4,3,4,2,2,0,2,0,0,3,2,1,2,0,4,4,4,4,0,1,1,2",-47.599999999999994
12,1,65,13.0,"3,1,0,0,3,4,2,2,1,2,1,2,2,1,0,1,2,3,3,3,4,3,0,3,2",-54.8
13,1,70,14.0,"3,0,4,0,0,1,0,1,4,3,1,3,1,0,0,2,1,4,4,4,4,0,0,0,1",-59.800000000000004
14,1,75,15.0,"3,0,0,0,2,4,2,1,0,0,1,2,0,4,4,1,3,4,3,0,0,1,0,4,1",-53.0
15,1,80,16.0,"3,0,0,2,1,1,2,4,0,1,0,2,0,0,1,2,1,3,4,2,2,3,0,0,2",-62.0
16,1,85,17.0,"1,2,0,0,4,0,2,2,0,0,1,1,0,4,4,2,1,4,2,0,4,0,0,3,0",-52.599999999999994
17,1,90,18.0,"3,1,0,2,1,2,2,3,2,2,4,2,4,1,0,2,1,1,0,1,3,3,0,4,4",-61.4
18,1,95,19.0,"3,4,0,1,4,3,3,2,0,2,1,2,2,3,0,1,2,4,3,1,0,0,0,2,0",-76.4
19,1,100,20.0,"0,1,4,4,0,2,0,3,0,0,4,0,2,1,2,2,2,0,0,0,2,1,3,3,2",-67.39999999999999
20,1,105,21.0,"0,4,0,2,3,0,2,0,0,1,1,2,0,0,3,0,3,0,3,0,2,3,0,0,2",-61.2
21,1,110,22.0,"3,2,0,2,0,1,2,3,0,0,1,2,0,1,4,2,2,1,4,4,4,0,0,3,0",-67.8
22,1,115,23.0,"0,4,0,4,4,4,2,3,3,0,2,2,1,1,4,2,4,3,1,1,3,0,3,3,0",-77.4
23,1,120,24.0,"0,2,3,1,3,0,3,1,4,3,0,2,0,0,0,2,1,4,4,0,0,3,0,0,1",-82.60000000000001
24,1,125,25.0,"3,0,0,0,0,3,3,2,0,0,0,2,0,0,3,3,3,0,2,1,3,0,1,1,0",-94.60000000000001
25,1,130,26.0,"3,4,1,2,4,1,0,0,3,2,4,2,1,3,1,2,3,4,2,3,4,0,0,0,2",-99.80000000000001
26,1,135,27.0,"3,0,0,2,3,1,0,0,2,0,0,0,0,0,0,0,3,1,3,3,0,2,0,0,2",-92.20000000000002
27,1,140,28.0,"1,2,0,0,2,0,0,1,3,3,1,1,0,4,4,2,0,4,1,4,4,0,2,2,0",-72.2
28,1,145,29.0,"3,1,0,4,3,1,2,0,2,0,0,2,2,0,4,1,1,4,1,0,4,0,1,4,4",-80.80000000000001
29,1,150,30.0,"3,4,0,0,0,1,2,2,0,2,1,2,0,2,0,2,3,4,0,1,4,0,0,1,0",-86.4
30,1,155,31.0,"3,4,0,4,4,4,2,1,4,1,1,2,2,0,0,1,3,0,4,3,1,2,0,3,2",-94.60000000000002
31,1,160,32.0,"3,4,0,0,4,2,2,0,0,0,1,0,0,4,4,2,4,4,3,3,0,0,4,3,0",-94.4
32,1,165,33.0,"3,2,0,4,4,4,3,1,4,2,0,0,1,1,0,1,0,4,4,0,4,0,0,1,0",-94.80000000000001
33,1,170,34.0,"0,2,0,4,1,4,2,0,3,2,1,2,4,2,1,1,1,4,3,3,0,0,3,0,2",-102.6
34,1,175,35.0,"0,1,3,0,2,0,3,2,2,3,1,0,1,0,0,2,3,4,0,0,3,3,0,2,3",-106.00000000000001
35,1,180,36.0,"3,4,0,2,2,0,2,0,2,1,1,2,4,4,0,0,1,4,0,0,2,0,0,4,2",-100.40000000000002
36,1,185,37.0,"0,4,0,4,0,1,2,2,0,2,0,2,1,2,0,1,2,4,2,4,2,0,0,2,4",-90.80000000000001
37,1,190,38.0,"3,2,0,0,4,0,2,4,4,2,1,2,0,0,0,0,1,4,1,1,0,0,1,2,2",-109.2
38,1,195,39.0,"3,2,0,0,2,0,3,2,0,3,0,2,1,0,0,2,4,4,0,1,0,2,0,0,0",-120.4
39,1,200,40.0,"0,1,2,3,4,0,2,0,4,2,1,0,4,0,1,2,4,3,0,1,3,1,3,4,0",-108.0
40,1,205,41.0,"2,1,0,2,3,3,2,3,4,2,0,2,0,0,0,2,2,4,2,0,0,1,0,0,0",-77.0
41,1,210,42.0,"3,3,2,1,0,0,0,2,0,2,3,0,2,0,0,3,4,0,4,1,2,3,2,3,4",-92.0
42,1,215,43.0,"3,1,0,2,2,0,2,1,0,2,1,0,1,0,1,2,2,4,2,0,4,0,0,4,2",-101.19999999999999
43,1,220,44.0,"3,2,3,2,0,0,2,0,4,2,3,1,0,0,0,2,2,1,2,1,3,0,2,0,3",-115.00000000000001
44,1,225,45.0,"3,1,0,1,3,4,2,1,2,2,1,0,3,2,1,3,1,3,0,3,4,0,4,3,2",-123.80000000000001
45,1,230,46.0,"4,3,0,2,3,4,0,1,2,2,0,2,4,0,0,1,3,4,4,3,4,0,0,3,0",-132.6
46,1,235,47.0,"3,0,0,0,1,1,2,2,3,2,1,1,2,0,0,2,1,2,2,0,4,0,0,3,0",-131.4
47,1,240,48.0,"3,0,0,2,0,0,0,4,4,2,2,0,2,1,0,3,4,4,4,0,3,0,0,3,0",-146.0
48,1,245,49.0,"3,2,2,3,0,1,2,2,1,2,0,0,4,4,0,3,2,0,1,0,2,1,2,0,4",-149.8
49,1,250,50.0,"3,4,0,2,4,3,2,0,2,3,1,0,2,2,1,2,3,4,4,2,0,3,0,3,2",-145.6
50,1,255,51.0,"4,0,0,2,4,4,3,3,4,2,1,0,4,4,0,2,2,1,0,1,0,1,0,4,2",-149.2
51,1,260,52.0,"3,1,0,0,4,1,0,0,3,4,3,0,1,0,2,1,1,4,4,0,4,3,0,4,0",-145.4
52,1,265,53.0,"3,0,2,4,1,1,2,3,4,0,1,0,0,0,0,0,1,4,1,1,0,0,0,2,2",-123.0
53,1,270,54.0,"3,0,0,0,4,3,2,1,4,2,4,2,2,3,0,1,1,0,0,0,0,2,0,0,1",-124.2
54,1,275,55.0,"3,1,0,0,1,0,2,0,4,2,1,0,1,0,2,0,0,2,3,3,0,1,0,0,2",-120.99999999999999
55,1,280,56.0,"3,0,0,0,1,0,2,1,4,2,1,1,1,0,0,3,1,1,0,4,4,1,4,4,1",-125.4
56,1,285,57.0,"3,1,0,0,1,0,2,3,3,2,4,1,1,4,4,1,1,4,0,4,2,3,0,1,1",-143.6
57,1,290,58.0,"3,1,0,3,4,1,2,3,3,0,1,2,1,0,0,1,0,1,3,0,0,1,0,3,0",-144.8
58,1,295,59.0,"3,2,2,2,3,4,0,0,3,0,1,0,4,4,0,2,1,3,0,3,2,1,0,1,0",-128.4
59,1,300,60.0,"3,4,0,2,2,4,2,1,4,0,0,0,1,0,4,2,1,2,1,0,2,3,0,4,2",-140.4
60,1,305,61.0,"3,2,0,2,3,1,2,1,3,2,1,2,2,1,0,1,1,0,4,0,0,0,0,1,1",-138.0
61,1,310,62.0,"0,4,2,1,0,1,2,3,0,3,1,0,0,0,0,4,3,3,3,3,0,1,0,0,2",-111.2
62,1,315,63.0,"3,2,0,0,4,2,2,2,4,3,1,0,4,0,4,0,1,3,2,4,0,3,0,0,1",-111.8
63,1,320,64.0,"3,0,2,4,3,0,2,1,0,2,1,0,2,0,1,2,3,2,3,0,2,1,3,3,2",-130.8
64,1,325,65.0,"3,4,2,3,2,2,2,2,3,0,1,0,0,2,4,1,4,3,4,1,2,0,1,0,0",-121.2
65,1,330,66.0,"3,1,4,0,0,1,3,0,4,3,1,2,0,0,4,2,1,1,0,1,0,1,0,2,0",-134.60000000000002
66,1,335,67.0,"0,0,0,0,0,0,2,1,4,0,4,0,1,0,2,2,2,4,3,1,0,3,2,4,0",-151.4
67,1,340,68.0,"3,0,2,0,2,0,2,2,0,3,0,0,3,0,0,1,1,4,3,1,4,3,2,4,0",-145.2
68,1,345,69.0,"3,0,0,0,4,2,2,2,1,2,1,2,1,1,2,2,4,4,4,0,0,3,2,3,0",-152.8
69,1,350,70.0,"0,2,0,2,0,3,2,2,2,2,1,2,0,0,0,2,2,1,3,0,4,3,0,0,0",-150.2
70,1,355,71.0,"3,0,4,0,0,1,2,0,0,0,1,0,0,0,0,2,1,2,2,3,0,0,0,0,0",-140.6
71,1,360,72.0,"3,4,0,2,3,4,2,2,4,1,1,2,0,1,0,2,1,0,4,0,1,1,0,3,0",-158.4
72,1,365,73.0,"3,2,3,1,1,0,1,0,3,0,3,0,2,4,3,4,1,0,2,3,4,0,0,1,0",-186.4
73,1,370,74.0,"0,2,1,2,0,0,2,2,2,2,4,0,3,4,1,2,1,3,4,3,2,0,2,2,0",-195.0
74,1,375,75.0,"1,1,0,2,0,0,2,0,3,0,4,0,0,1,0,2,0,1,0,0,2,3,3,4,0",-154.6
75,1,380,76.0,"3,2,1,0,2,0,2,3,1,0,0,2,3,0,0,2,0,3,3,4,4,0,1,3,1",-149.4
76,1,385,77.0,"0,3,0,2,1,2,2,0,3,2,1,0,4,0,0,4,1,1,4,0,0,3,0,3,3",-162.0
77,1,390,78.0,"1,1,0,2,0,4,0,0,3,3,4,0,1,0,1,4,1,1,3,3,3,0,0,3,4",-177.60000000000002
78,1,395,79.0,"0,0,0,4,4,2,3,2,4,2,1,2,0,0,1,3,1,4,1,1,2,0,0,2,0",-176.6
79,1,400,80.0,"3,0,0,0,1,0,3,0,0,2,1,2,0,0,4,2,2,4,4,0,0,0,1,3,1",-160.6
80,1,405,81.0,"3,0,1,2,1,1,3,3,4,1,1,0,0,0,0,0,3,4,2,0,0,1,3,3,0",-170.2
81,1,410,82.0,"3,4,3,2,4,4,2,0,2,3,0,0,1,0,1,1,3,1,4,0,4,0,4,0,0",-166.6
82,1,415,83.0,"3,2,3,0,4,4,2,3,0,0,1,0,0,0,3,1,1,4,0,2,0,0,1,4,3",-170.2
