,episode,id,depart_sec,arrival_sec,duration_sec,wait_step,wait_sec
0,1,f_0_4.0,0.00,108.00,108.00,1,37.00
1,1,f_0_4.1,9.00,109.00,100.00,1,30.00
2,1,f_0_4.2,17.00,148.00,131.00,4,52.00
3,1,f_0_1.0,0.00,156.00,156.00,4,55.00
4,1,f_0_2.0,0.00,172.00,172.00,3,34.00
5,1,f_0_4.3,25.00,173.00,148.00,4,64.00
6,1,f_0_4.4,33.00,174.00,141.00,5,60.00
7,1,f_0_1.1,14.00,183.00,169.00,3,44.00
8,1,f_0_4.5,41.00,183.00,142.00,7,51.00
9,1,f_0_4.6,50.00,185.00,135.00,5,55.00
10,1,f_0_4.7,58.00,186.00,128.00,6,40.00
11,1,f_0_0.0,0.00,206.00,206.00,5,78.00
12,1,f_0_5.0,0.00,209.00,209.00,4,52.00
13,1,f_0_2.1,14.00,212.00,198.00,4,61.00
14,1,f_0_2.2,28.00,221.00,193.00,3,65.00
15,1,f_0_2.3,41.00,240.00,199.00,4,69.00
16,1,f_0_2.4,55.00,245.00,190.00,6,32.00
17,1,f_0_1.2,28.00,262.00,234.00,6,110.00
18,1,f_0_3.0,0.00,263.00,263.00,5,109.00
19,1,f_0_2.5,69.00,267.00,198.00,6,53.00
20,1,f_0_3.2,17.00,269.00,252.00,7,66.00
21,1,f_0_2.6,82.00,269.00,187.00,5,41.00
22,1,f_0_1.3,41.00,276.00,235.00,6,103.00
23,1,f_0_2.7,96.00,276.00,180.00,5,35.00
24,1,f_0_3.1,9.00,284.00,275.00,7,100.00
25,1,f_0_3.3,25.00,294.00,269.00,10,95.00
26,1,f_0_2.8,110.00,295.00,185.00,7,50.00
27,1,f_0_3.4,33.00,298.00,265.00,8,116.00
28,1,f_0_2.9,123.00,298.00,175.00,5,34.00
29,1,f_0_3.5,41.00,300.00,259.00,6,94.00
30,1,f_0_1.4,55.00,302.00,247.00,8,132.00
31,1,f_0_4.8,66.00,308.00,242.00,4,165.00
32,1,f_0_4.9,74.00,310.00,236.00,5,167.00
33,1,f_0_4.10,82.00,312.00,230.00,6,150.00
34,1,f_0_4.11,91.00,314.00,223.00,5,144.00
35,1,f_0_0.1,14.00,322.00,308.00,6,169.00
36,1,f_0_0.2,28.00,325.00,297.00,7,145.00
37,1,f_0_0.3,41.00,327.00,286.00,8,131.00
38,1,f_0_5.1,9.00,338.00,329.00,7,168.00
39,1,f_0_5.2,17.00,347.00,330.00,9,164.00
40,1,f_0_2.10,137.00,352.00,215.00,6,60.00
41,1,f_0_4.12,99.00,360.00,261.00,7,168.00
42,1,f_0_4.13,107.00,362.00,255.00,8,158.00
43,1,f_0_4.14,115.00,373.00,258.00,8,168.00
44,1,f_0_4.15,123.00,374.00,251.00,8,167.00
45,1,f_0_1.5,69.00,382.00,313.00,6,192.00
46,1,f_0_2.11,150.00,399.00,249.00,7,104.00
47,1,f_0_0.4,55.00,412.00,357.00,9,189.00
48,1,f_0_4.16,131.00,413.00,282.00,10,182.00
