,wall_time,step,value
0,1645082825.2573724,720,-990.9905395507812
1,1645082973.4539738,1440,-763.879150390625
2,1645083122.5363128,2160,-1018.0283203125
3,1645083274.56756,2880,-951.5675048828125
4,1645083425.9117362,3600,-926.7330322265625
5,1645083572.2945824,4320,-845.9389038085938
6,1645083720.2049844,5040,-929.6950073242188
7,1645083872.2123802,5760,-930.8436279296875
8,1645084020.8897207,6480,-1044.3038330078125
9,1645084166.4199913,7200,-1259.410888671875
10,1645084311.5104668,7920,-749.4324951171875
11,1645084458.2359223,8640,-1418.9022216796875
12,1645084598.4614868,9360,-827.0111083984375
13,1645084740.0408828,10080,-756.366943359375
14,1645084882.1016922,10800,-1055.23583984375
15,1645085024.4416125,11520,-1123.593017578125
16,1645085167.265454,12240,-1463.727783203125
17,1645085303.6418703,12960,-1028.419677734375
18,1645085445.2926738,13680,-1398.3897705078125
19,1645085580.749744,14400,-945.181640625
20,1645085718.75676,15120,-1333.85498046875
21,1645085854.699456,15840,-776.681640625
22,1645085994.0527396,16560,-1366.1202392578125
23,1645086132.1851203,17280,-914.8114013671875
24,1645086266.3742208,18000,-665.098876953125
25,1645086403.9806597,18720,-822.1486206054688
26,1645086529.3685436,19440,-679.73779296875
27,1645086660.825832,20160,-876.1611328125
28,1645086788.6128533,20880,-972.3716430664062
29,1645086919.9765646,21600,-1196.12890625
30,1645087049.138222,22320,-1028.8016357421875
31,1645087183.1253848,23040,-1206.53662109375
32,1645087313.816905,23760,-1044.1519775390625
33,1645087442.0507038,24480,-889.998046875
34,1645087572.8561807,25200,-925.3377685546875
35,1645087704.209502,25920,-687.70556640625
36,1645087832.6443925,26640,-662.7211303710938
37,1645087963.7970715,27360,-656.20361328125
38,1645088092.646939,28080,-780.3724975585938
39,1645088216.2828016,28800,-927.3552856445312
40,1645088341.524506,29520,-1240.0555419921875
41,1645088461.1049032,30240,-578.6197509765625
42,1645088588.4125173,30960,-1108.0086669921875
43,1645088712.2711542,31680,-717.8961181640625
44,1645088835.0097551,32400,-852.988037109375
45,1645088959.4703712,33120,-1026.862548828125
46,1645089084.4944305,33840,-920.0433349609375
47,1645089212.9267478,34560,-1046.618896484375
48,1645089343.0315723,35280,-1241.4464111328125
49,1645089468.6065176,36000,-679.1414184570312
50,1645089599.014012,36720,-939.2908325195312
51,1645089726.3882458,37440,-981.032470703125
52,1645089857.2549322,38160,-1036.91748046875
53,1645089988.9602253,38880,-1249.7249755859375
54,1645090113.0040452,39600,-611.5933227539062
55,1645090233.693424,40320,-633.5671997070312
56,1645090358.798022,41040,-910.2672119140625
57,1645090489.027379,41760,-1226.9453125
58,1645090615.038572,42480,-989.683349609375
59,1645090736.5669644,43200,-877.6097412109375
60,1645090862.3666418,43920,-938.9400024414062
61,1645090991.5917726,44640,-879.8114013671875
62,1645091121.9195433,45360,-1053.9453125
63,1645091249.5400932,46080,-956.2827758789062
64,1645091377.3170056,46800,-951.5833129882812
65,1645091502.4412851,47520,-1253.8349609375
66,1645091632.7282531,48240,-1517.9161376953125
67,1645091755.6716218,48960,-630.2899780273438
68,1645091882.6170895,49680,-795.2186279296875
69,1645092009.9211264,50400,-825.915283203125
70,1645092131.59412,51120,-570.001953125
71,1645092254.0479298,51840,-735.943359375
72,1645092381.2982314,52560,-1084.463623046875
73,1645092506.4337704,53280,-733.9403076171875
74,1645092636.738484,54000,-1001.20166015625
75,1645092767.1206203,54720,-1270.246337890625
76,1645092890.5865543,55440,-847.4469604492188
77,1645093014.7410493,56160,-768.83251953125
78,1645093138.1900024,56880,-669.255859375
79,1645093265.8629248,57600,-871.5213623046875
80,1645093394.2687178,58320,-874.47802734375
81,1645093519.8265293,59040,-830.630859375
82,1645093645.9517355,59760,-839.0247192382812
83,1645093769.5209024,60480,-623.9930419921875
84,1645093896.0884726,61200,-756.6763916015625
85,1645094019.7432601,61920,-1019.4658203125
86,1645094145.3094974,62640,-1180.7294921875
87,1645094269.4134257,63360,-653.9086303710938
88,1645094395.6607468,64080,-829.01806640625
89,1645094517.408042,64800,-688.8394165039062
90,1645094649.1730938,65520,-1497.0855712890625
91,1645094773.2165456,66240,-759.8110961914062
92,1645094897.2924309,66960,-801.4230346679688
93,1645095023.1496832,67680,-1028.574951171875
94,1645095150.7902546,68400,-1446.812744140625
95,1645095275.731211,69120,-929.0947265625
96,1645095402.7683413,69840,-857.2933349609375
97,1645095522.201403,70560,-627.2919311523438
98,1645095648.2606595,71280,-999.1705322265625
99,1645095774.0916245,72000,-764.1302490234375
100,1645095897.3113446,72720,-626.70556640625
101,1645096026.2105763,73440,-1016.9630737304688
102,1645096148.9722733,74160,-728.5558471679688
103,1645096273.878651,74880,-1098.01806640625
104,1645096401.0582626,75600,-916.9491577148438
105,1645096521.1263223,76320,-616.1822509765625
