,episode,time_sec,step,action,reward
0,1,5,1.0,"4,2,1,0,1,1,1,2,0,1,0,3,3,3,0,0,0,3,4,2,0,3,4,3,2",-1.2
1,1,10,2.0,"1,3,2,0,2,4,1,2,2,2,2,4,2,0,0,2,4,0,0,2,1,0,2,1,1",-2.8
2,1,15,3.0,"0,2,2,1,0,2,1,0,0,0,4,3,0,0,1,4,2,2,2,1,1,2,2,0,4",-7.199999999999999
3,1,20,4.0,"4,4,2,0,2,1,4,4,2,3,4,3,1,4,4,4,4,0,2,3,0,1,0,1,0",-5.4
4,1,25,5.0,"3,4,1,4,0,4,1,2,3,1,2,0,2,4,1,1,2,1,2,1,3,2,2,2,0",-12.600000000000001
5,1,30,6.0,"0,0,1,4,2,3,3,4,1,2,2,3,1,2,1,2,2,4,4,0,0,3,2,0,2",-18.2
6,1,35,7.0,"4,1,2,2,0,2,2,3,2,0,4,0,3,4,0,0,0,3,3,2,3,4,1,1,1",-5.6
7,1,40,8.0,"0,0,1,0,3,4,3,4,1,3,0,0,1,1,0,4,2,3,2,0,1,4,2,1,4",-20.400000000000002
8,1,45,9.0,"3,0,0,4,3,4,1,4,1,2,1,2,4,2,2,2,2,2,0,2,4,4,0,1,2",-26.2
9,1,50,10.0,"1,4,4,0,0,0,1,0,1,3,1,1,2,0,0,0,2,2,4,2,1,4,2,2,4",-31.199999999999996
10,1,55,11.0,"1,2,1,0,2,0,3,1,1,0,2,2,3,2,3,3,1,2,2,2,1,2,0,3,1",-32.800000000000004
11,1,60,12.0,"0,1,2,4,4,3,2,3,1,0,3,1,3,3,0,2,2,2,3,4,4,2,2,0,4",-41.6
12,1,65,13.0,"2,4,3,0,2,2,4,0,3,4,0,3,1,0,1,3,4,2,1,3,4,2,3,0,2",-42.0
13,1,70,14.0,"0,4,4,4,1,4,4,1,1,4,0,2,4,2,1,3,0,4,0,1,0,4,4,2,0",-41.0
14,1,75,15.0,"3,4,0,2,3,0,1,1,3,2,1,0,3,2,4,3,1,1,2,3,4,4,1,3,1",-49.6
15,1,80,16.0,"4,4,2,2,3,4,0,1,1,2,0,2,0,0,0,4,4,3,3,4,3,0,0,0,0",-39.0
16,1,85,17.0,"3,1,0,4,3,0,1,3,0,0,3,4,1,3,3,1,4,4,0,0,0,4,3,2,0",-40.4
17,1,90,18.0,"1,2,4,0,2,1,4,1,2,0,4,3,4,4,3,3,0,3,4,2,2,0,3,2,2",-43.6
18,1,95,19.0,"4,2,4,4,1,1,2,0,1,0,0,4,4,2,2,0,4,0,3,0,3,2,2,0,2",-32.4
19,1,100,20.0,"3,4,0,3,2,0,0,1,0,4,2,1,4,0,0,2,4,0,2,2,0,0,2,2,4",-27.4
20,1,105,21.0,"0,2,1,2,4,2,4,2,3,2,0,0,2,0,1,0,2,2,1,4,0,2,1,4,4",-41.2
21,1,110,22.0,"3,2,2,0,4,4,4,4,4,0,0,0,2,0,1,1,1,0,2,0,3,0,0,2,0",-57.60000000000001
22,1,115,23.0,"1,4,2,4,0,2,1,0,4,2,0,1,3,3,1,0,2,0,3,4,3,3,3,1,0",-58.599999999999994
23,1,120,24.0,"2,1,3,3,3,3,2,2,1,1,2,3,2,1,4,0,0,2,2,3,2,3,2,2,0",-59.800000000000004
24,1,125,25.0,"3,2,0,0,0,0,3,3,1,0,0,2,1,3,2,0,0,0,1,1,2,3,4,2,3",-65.4
25,1,130,26.0,"4,1,1,4,3,4,0,1,4,0,4,2,1,2,4,4,4,0,4,4,0,1,3,0,0",-64.6
26,1,135,27.0,"1,4,4,3,0,0,3,2,0,3,3,0,0,2,3,1,4,2,1,3,4,3,2,1,2",-56.8
27,1,140,28.0,"1,4,4,1,2,1,4,2,4,4,0,2,0,2,3,1,0,0,0,2,1,0,4,1,2",-69.0
28,1,145,29.0,"4,4,0,4,1,2,2,0,4,0,0,4,4,3,1,2,1,4,1,1,2,1,4,3,1",-61.2
29,1,150,30.0,"0,1,0,3,3,4,2,3,3,4,4,1,4,2,2,4,0,1,3,0,0,4,2,4,1",-79.80000000000001
30,1,155,31.0,"2,2,0,0,4,3,4,1,0,0,4,2,0,0,3,3,1,0,0,0,1,3,4,3,3",-97.6
31,1,160,32.0,"1,0,0,3,2,2,0,2,3,4,3,4,0,1,0,3,0,3,0,1,3,4,0,3,0",-93.0
32,1,165,33.0,"2,3,0,0,4,1,1,0,4,0,4,3,3,0,2,2,0,4,3,2,3,4,2,4,0",-110.0
33,1,170,34.0,"4,3,2,4,3,0,2,2,3,2,0,4,4,0,2,2,4,4,1,2,0,3,2,1,2",-96.80000000000001
