,episode,id,depart_sec,arrival_sec,duration_sec,wait_step,wait_sec
0,1,f_0_4.0,0.00,93.00,93.00,4,26.00
1,1,f_0_4.1,9.00,95.00,86.00,2,20.00
2,1,f_0_4.2,17.00,123.00,106.00,3,28.00
3,1,f_0_4.3,25.00,124.00,99.00,2,24.00
4,1,f_0_4.4,33.00,143.00,110.00,5,39.00
5,1,f_0_4.5,41.00,145.00,104.00,4,24.00
6,1,f_0_4.6,50.00,146.00,96.00,3,19.00
7,1,f_0_4.7,58.00,148.00,90.00,3,13.00
8,1,f_0_4.8,66.00,150.00,84.00,2,10.00
9,1,f_0_4.9,74.00,159.00,85.00,2,17.00
10,1,f_0_4.10,82.00,173.00,91.00,3,25.00
11,1,f_0_0.1,14.00,207.00,193.00,5,61.00
12,1,f_0_0.2,28.00,213.00,185.00,5,58.00
13,1,f_0_0.4,55.00,220.00,165.00,5,32.00
14,1,f_0_2.1,14.00,222.00,208.00,4,50.00
15,1,f_0_2.3,41.00,224.00,183.00,3,43.00
16,1,f_0_4.11,91.00,224.00,133.00,5,57.00
17,1,f_0_4.12,99.00,225.00,126.00,5,47.00
18,1,f_0_4.13,107.00,228.00,121.00,5,38.00
19,1,f_0_4.14,115.00,229.00,114.00,4,34.00
20,1,f_0_4.15,123.00,231.00,108.00,4,35.00
21,1,f_0_2.0,0.00,236.00,236.00,6,91.00
22,1,f_0_5.1,9.00,245.00,236.00,6,83.00
23,1,f_0_5.4,33.00,249.00,216.00,4,47.00
24,1,f_0_0.3,41.00,252.00,211.00,6,63.00
25,1,f_0_3.3,25.00,256.00,231.00,6,60.00
26,1,f_0_1.0,0.00,257.00,257.00,4,138.00
27,1,f_0_3.0,0.00,258.00,258.00,9,80.00
28,1,f_0_4.16,131.00,258.00,127.00,5,52.00
29,1,f_0_1.1,14.00,259.00,245.00,6,126.00
30,1,f_0_5.2,17.00,263.00,246.00,7,86.00
31,1,f_0_2.2,28.00,263.00,235.00,6,84.00
32,1,f_0_1.2,28.00,266.00,238.00,9,118.00
33,1,f_0_0.0,0.00,271.00,271.00,9,125.00
34,1,f_0_4.17,140.00,273.00,133.00,6,59.00
35,1,f_0_4.18,148.00,275.00,127.00,3,56.00
36,1,f_0_4.19,156.00,289.00,133.00,5,60.00
37,1,f_0_5.5,41.00,298.00,257.00,9,89.00
38,1,f_0_3.4,33.00,303.00,270.00,8,91.00
39,1,f_0_5.0,0.00,304.00,304.00,6,133.00
40,1,f_0_3.1,9.00,305.00,296.00,12,118.00
41,1,f_0_0.9,123.00,308.00,185.00,6,37.00
42,1,f_0_3.5,41.00,309.00,268.00,8,105.00
43,1,f_0_3.6,50.00,313.00,263.00,9,86.00
44,1,f_0_3.7,58.00,315.00,257.00,12,66.00
45,1,f_0_5.3,25.00,318.00,293.00,9,126.00
46,1,f_0_0.8,110.00,318.00,208.00,6,38.00
47,1,f_0_4.20,164.00,318.00,154.00,8,71.00
48,1,f_0_2.4,55.00,321.00,266.00,8,116.00
49,1,f_0_3.9,74.00,323.00,249.00,10,52.00
50,1,f_0_2.5,69.00,336.00,267.00,10,110.00
