,episode,time_sec,step,action,reward
0,1,5,1.0,"1,2,0,0,4,3,3,2,4,4,1,1,4,0,4,0,0,1,1,4,0,3,0,1,2",-1.0
1,1,10,2.0,"3,4,3,3,2,2,1,1,3,1,2,2,0,4,4,1,4,1,4,1,1,0,2,0,0",-8.4
2,1,15,3.0,"0,1,1,0,0,1,1,1,4,0,4,2,1,1,3,2,2,2,2,2,1,3,2,4,1",-15.4
3,1,20,4.0,"0,3,2,2,0,3,0,3,1,2,1,4,0,2,1,2,2,0,2,0,4,3,2,0,0",-16.4
4,1,25,5.0,"2,4,2,2,3,4,2,1,4,1,2,4,0,3,1,2,0,0,3,0,1,3,0,3,0",-14.2
5,1,30,6.0,"0,2,3,2,0,1,3,2,1,3,4,0,3,4,3,2,1,2,3,3,2,0,3,2,0",-21.2
6,1,35,7.0,"0,1,0,2,0,4,0,0,3,4,4,0,2,1,3,4,0,0,2,4,3,1,0,3,4",-26.4
7,1,40,8.0,"2,0,3,3,1,2,4,3,4,1,1,0,0,0,2,0,3,3,1,0,0,2,4,2,1",-19.200000000000003
8,1,45,9.0,"0,0,4,2,2,3,0,1,1,2,1,2,0,1,4,4,0,1,1,4,0,2,0,4,3",-17.599999999999998
9,1,50,10.0,"0,1,3,1,1,1,0,1,1,2,0,2,2,0,0,0,0,2,1,4,3,4,2,0,3",-15.6
10,1,55,11.0,"0,3,0,1,0,3,3,4,1,0,0,1,0,3,2,3,0,2,0,2,0,3,3,4,2",-20.4
11,1,60,12.0,"0,2,4,2,3,1,4,2,3,4,2,3,4,0,3,3,1,3,4,1,2,3,0,4,4",-37.8
12,1,65,13.0,"4,3,1,4,0,3,0,0,3,4,2,0,3,2,4,0,0,3,0,2,2,1,4,1,2",-28.8
13,1,70,14.0,"2,1,2,4,2,4,1,4,2,3,0,1,2,3,4,3,0,4,0,1,3,0,3,3,2",-30.199999999999996
14,1,75,15.0,"0,3,0,3,2,4,0,1,0,0,0,3,0,2,3,4,2,2,4,0,0,4,4,1,2",-26.799999999999997
15,1,80,16.0,"4,2,0,4,3,0,3,3,2,4,4,0,0,0,3,0,2,0,4,2,1,3,4,2,1",-37.0
16,1,85,17.0,"0,2,2,2,4,1,2,2,0,2,2,2,3,1,0,0,0,4,0,0,4,0,4,4,2",-32.6
17,1,90,18.0,"4,1,2,2,4,0,2,3,2,2,0,0,4,2,2,0,4,0,4,0,4,3,4,0,3",-36.2
18,1,95,19.0,"4,3,0,4,3,2,4,1,3,3,0,3,0,0,2,4,2,4,0,0,2,1,4,0,4",-39.599999999999994
19,1,100,20.0,"4,4,4,2,0,0,0,0,3,4,0,3,0,0,0,0,4,0,1,4,2,2,3,4,4",-43.8
20,1,105,21.0,"0,4,2,0,3,0,4,1,0,0,3,4,3,1,4,0,2,0,2,3,0,4,0,1,3",-44.199999999999996
21,1,110,22.0,"2,0,3,4,4,0,4,0,0,3,0,0,4,0,4,0,0,4,2,1,3,0,1,0,4",-45.8
22,1,115,23.0,"2,4,0,2,0,3,0,3,3,0,4,2,2,0,2,3,3,2,1,4,2,3,0,2,2",-58.8
23,1,120,24.0,"4,2,4,0,1,0,3,0,3,4,0,2,4,4,4,0,1,1,2,0,0,2,0,0,3",-61.60000000000001
24,1,125,25.0,"3,1,0,3,0,0,4,1,0,4,2,1,3,3,2,3,2,4,2,4,2,0,4,1,1",-62.199999999999996
