,agent,step,test_id,avg_reward,std_reward
0,fuzzy_ma2c,720,-1,-936.7352777777778,694.9380279164232
1,fuzzy_ma2c,1440,-1,-992.6575,824.0817515907395
2,fuzzy_ma2c,2160,-1,-758.3127777777779,552.2250937525945
3,fuzzy_ma2c,2880,-1,-890.8008333333335,562.7144790599847
4,fuzzy_ma2c,3600,-1,-912.2049999999999,666.2581030380711
5,fuzzy_ma2c,4320,-1,-828.6305555555556,591.2143500736638
6,fuzzy_ma2c,5040,-1,-822.9086111111112,577.334232517837
7,fuzzy_ma2c,5760,-1,-944.9772222222224,791.0856321347657
8,fuzzy_ma2c,6480,-1,-773.8411111111111,428.38672297468287
9,fuzzy_ma2c,7200,-1,-695.116388888889,415.851345579515
10,fuzzy_ma2c,7920,-1,-757.6605555555557,632.9073382237475
11,fuzzy_ma2c,8640,-1,-1028.4886111111111,843.5406164121322
12,fuzzy_ma2c,9360,-1,-1026.8166666666666,864.0805950385776
13,fuzzy_ma2c,10080,-1,-1261.3361111111112,1147.397503835135
14,fuzzy_ma2c,10800,-1,-749.615,466.36551389739117
15,fuzzy_ma2c,11520,-1,-1049.1272222222224,842.6215182611518
16,fuzzy_ma2c,12240,-1,-863.2172222222224,636.8572391334877
17,fuzzy_ma2c,12960,-1,-946.9497222222222,665.2025914252076
18,fuzzy_ma2c,13680,-1,-855.37,617.192718137716
19,fuzzy_ma2c,14400,-1,-729.3880555555556,479.14809694057504
20,fuzzy_ma2c,15120,-1,-1137.2416666666666,766.2964865996712
21,fuzzy_ma2c,15840,-1,-925.3455555555556,575.81308804953
22,fuzzy_ma2c,16560,-1,-849.8158333333333,604.2351139382519
23,fuzzy_ma2c,17280,-1,-1073.1183333333336,1012.3874684227599
24,fuzzy_ma2c,18000,-1,-720.526111111111,434.1232685749635
25,fuzzy_ma2c,18720,-1,-711.3869444444446,433.5924066532188
26,fuzzy_ma2c,19440,-1,-929.0550000000002,767.6464639674091
27,fuzzy_ma2c,20160,-1,-742.6688888888889,453.7748515739801
28,fuzzy_ma2c,20880,-1,-958.0847222222222,590.2631781106256
29,fuzzy_ma2c,21600,-1,-661.0872222222222,375.39379287039003
30,fuzzy_ma2c,22320,-1,-696.6255555555556,482.8003406196698
31,fuzzy_ma2c,23040,-1,-1088.9033333333334,827.740695165662
32,fuzzy_ma2c,23760,-1,-591.2961111111111,320.9532258867307
33,fuzzy_ma2c,24480,-1,-717.4869444444444,413.42759375009905
34,fuzzy_ma2c,25200,-1,-725.9955555555556,533.651735458646
35,fuzzy_ma2c,25920,-1,-680.5791666666667,412.4132787755708
36,fuzzy_ma2c,26640,-1,-921.4755555555554,704.430972379064
37,fuzzy_ma2c,27360,-1,-1000.3822222222221,930.1667802159375
38,fuzzy_ma2c,28080,-1,-709.6791666666667,425.5088927251632
39,fuzzy_ma2c,28800,-1,-617.6883333333333,360.9715719454619
40,fuzzy_ma2c,29520,-1,-848.2769444444444,616.6957305958167
41,fuzzy_ma2c,30240,-1,-976.4819444444445,839.4126961464037
42,fuzzy_ma2c,30960,-1,-583.9116666666667,329.6884102662526
43,fuzzy_ma2c,31680,-1,-798.7022222222223,545.1795798894113
44,fuzzy_ma2c,32400,-1,-1008.8766666666666,823.4663069475143
45,fuzzy_ma2c,33120,-1,-817.9427777777778,673.3908536100096
46,fuzzy_ma2c,33840,-1,-873.1358333333334,697.9037167311
47,fuzzy_ma2c,34560,-1,-1189.2369444444446,1034.6625235750369
48,fuzzy_ma2c,35280,-1,-697.3833333333333,407.9193123509708
49,fuzzy_ma2c,36000,-1,-643.2394444444445,357.48293308091763
50,fuzzy_ma2c,36720,-1,-851.2677777777778,692.7122465477885
51,fuzzy_ma2c,37440,-1,-861.4908333333334,557.6380178179858
52,fuzzy_ma2c,38160,-1,-587.2405555555556,324.4229751415448
53,fuzzy_ma2c,38880,-1,-773.1841666666667,528.6261153261927
54,fuzzy_ma2c,39600,-1,-785.3755555555556,550.2664973166509
55,fuzzy_ma2c,40320,-1,-654.0358333333334,405.4369822170957
56,fuzzy_ma2c,41040,-1,-1122.5094444444444,978.8167558728596
