,episode,time_sec,step,action,reward
0,1,5,1.0,"2,0,4,0,3,0,2,0,4,0,2,4,0,2,4,1,0,0,4,3,3,4,4,1,0",0.0
1,1,10,2.0,"4,2,0,4,3,2,3,2,2,3,0,4,0,2,0,2,4,3,1,3,4,3,0,3,1",-3.4000000000000004
2,1,15,3.0,"1,1,1,0,4,2,0,3,2,0,2,1,4,2,4,3,1,4,3,0,3,1,3,3,3",-6.4
3,1,20,4.0,"3,2,0,0,2,3,0,1,2,0,1,2,1,3,3,4,3,0,0,4,2,2,0,1,3",-15.600000000000001
4,1,25,5.0,"3,0,0,0,2,4,4,1,0,4,3,1,1,2,3,3,2,3,3,0,2,1,1,3,0",-22.0
5,1,30,6.0,"3,0,0,0,0,0,0,3,3,4,3,4,3,0,1,1,3,4,1,1,0,2,2,4,2",-33.800000000000004
6,1,35,7.0,"1,1,0,4,0,0,4,1,3,0,0,0,3,1,1,1,1,2,4,4,2,1,3,4,0",-40.400000000000006
7,1,40,8.0,"2,3,1,4,0,2,3,2,2,0,0,1,3,0,0,3,0,4,0,3,1,4,0,3,1",-35.0
8,1,45,9.0,"3,0,4,4,4,4,4,3,0,1,3,0,4,3,2,2,2,4,1,0,2,2,1,1,4",-26.800000000000004
9,1,50,10.0,"2,0,3,4,3,2,0,0,0,4,0,3,3,1,3,0,2,1,1,0,1,0,2,0,4",-21.4
10,1,55,11.0,"1,0,1,0,3,1,1,3,2,0,0,1,2,2,4,1,3,4,4,2,2,3,0,2,4",-25.2
11,1,60,12.0,"3,2,0,4,3,4,1,3,0,1,0,0,3,3,2,3,0,2,3,4,4,1,2,2,2",-33.6
12,1,65,13.0,"3,1,0,0,3,3,1,3,0,2,3,3,3,3,2,0,2,1,1,4,4,3,1,3,3",-46.0
13,1,70,14.0,"1,0,4,1,0,2,0,2,2,3,3,4,1,2,0,1,1,2,3,4,4,1,0,0,1",-34.0
14,1,75,15.0,"4,0,0,0,3,4,2,1,0,0,2,2,0,4,4,0,3,4,2,0,0,2,0,4,1",-32.2
15,1,80,16.0,"0,3,1,0,3,0,2,3,0,0,3,1,0,4,4,1,0,2,1,1,4,1,0,3,0",-44.0
16,1,85,17.0,"0,1,4,4,0,2,0,4,0,0,4,0,2,2,3,1,1,0,0,0,2,2,3,3,3",-46.0
17,1,90,18.0,"0,4,1,4,4,4,2,3,2,0,3,2,1,3,4,3,4,1,1,2,2,0,4,3,0",-52.0
18,1,95,19.0,"2,4,2,4,4,1,0,0,2,2,4,2,1,3,3,3,3,3,1,3,4,0,1,2,2",-49.2
19,1,100,20.0,"1,1,1,4,3,1,2,0,1,0,0,2,3,0,4,1,1,4,1,1,4,0,2,4,4",-63.2
20,1,105,21.0,"3,4,0,2,4,2,2,0,0,0,3,0,0,4,4,2,4,2,2,4,0,1,4,3,0",-57.400000000000006
21,1,110,22.0,"0,1,4,0,3,1,4,3,2,4,3,0,1,1,0,2,3,3,0,0,2,4,2,3,4",-60.6
22,1,115,23.0,"3,3,1,0,3,0,0,4,3,2,0,4,0,2,2,0,1,3,1,2,0,0,2,2,3",-58.6
23,1,120,24.0,"0,1,2,3,3,3,0,4,4,3,0,4,0,1,1,1,1,3,1,0,0,2,1,0,1",-82.6
24,1,125,25.0,"4,3,1,3,3,4,0,1,1,2,0,3,4,2,2,0,3,3,4,3,4,0,0,4,1",-92.2
25,1,130,26.0,"2,3,3,4,0,1,1,3,1,2,0,0,4,4,2,3,1,0,0,0,2,2,3,0,4",-91.0
26,1,135,27.0,"1,2,1,0,4,1,0,0,2,4,4,0,1,1,3,0,1,3,4,0,3,4,1,4,0",-96.2
27,1,140,28.0,"1,2,2,0,0,1,3,0,3,3,3,0,0,0,3,0,0,0,2,3,0,2,0,0,2",-94.6
28,1,145,29.0,"0,3,3,4,3,4,0,0,2,0,1,1,4,4,0,3,0,1,0,3,1,2,0,2,0",-89.20000000000002
29,1,150,30.0,"1,2,0,0,4,2,3,3,3,4,2,1,4,0,4,0,0,0,1,4,0,3,0,0,1",-71.0
30,1,155,31.0,"0,1,4,1,0,2,4,0,3,4,3,4,0,0,4,2,0,0,0,2,1,2,1,2,0",-66.19999999999999
31,1,160,32.0,"0,0,1,1,4,2,1,3,1,2,1,4,1,3,3,1,4,3,4,0,0,3,3,3,1",-83.80000000000001
32,1,165,33.0,"2,3,1,3,3,4,2,2,4,1,2,4,0,3,0,2,0,0,3,0,1,2,0,3,0",-87.0
33,1,170,34.0,"0,3,2,0,3,0,0,3,1,0,0,3,3,0,2,3,0,2,1,4,3,0,2,3,1",-86.2
34,1,175,35.0,"0,0,2,4,4,2,4,3,3,1,3,4,0,0,3,3,0,4,1,2,2,1,0,3,0",-92.0
35,1,180,36.0,"3,4,3,3,4,4,0,1,2,4,0,0,1,2,3,1,3,0,4,0,4,1,4,0,0",-95.0
36,1,185,37.0,"0,0,4,4,3,3,0,2,1,2,2,1,0,1,4,4,0,1,1,4,0,1,0,4,3",-111.4
37,1,190,38.0,"4,0,1,3,2,2,0,0,0,0,3,1,1,2,2,2,1,2,2,3,1,0,0,4,2",-82.6
38,1,195,39.0,"0,4,2,2,4,1,3,2,0,1,0,1,3,2,3,1,1,0,0,2,4,4,3,4,0",-94.6
39,1,200,40.0,"0,3,0,2,0,3,3,4,2,0,0,0,0,3,2,3,0,1,0,3,0,2,3,4,2",-94.4
40,1,205,41.0,"4,0,1,0,2,4,4,1,3,0,2,3,2,2,3,3,0,1,1,3,2,1,0,2,0",-92.0
41,1,210,42.0,"3,2,4,3,0,1,2,2,3,3,4,0,1,3,3,3,0,0,3,0,2,0,0,3,0",-127.4
42,1,215,43.0,"4,3,1,4,0,3,0,1,2,3,3,0,2,2,4,0,0,4,0,3,2,1,4,2,2",-119.4
43,1,220,44.0,"2,0,3,2,1,0,4,0,0,2,2,4,4,2,2,1,3,1,4,0,0,4,0,3,3",-111.2
44,1,225,45.0,"0,2,3,4,3,4,4,0,3,1,4,0,2,3,0,3,2,0,1,0,4,2,2,0,0",-99.6
45,1,230,46.0,"0,3,3,3,3,1,3,3,2,1,1,2,0,3,1,0,1,0,2,0,1,1,4,3,1",-134.39999999999998
46,1,235,47.0,"4,3,3,2,3,4,4,0,2,1,3,1,4,2,0,1,4,4,3,0,0,0,1,2,1",-137.0
47,1,240,48.0,"4,2,0,4,3,0,3,3,2,4,4,0,0,0,2,0,2,0,3,2,1,3,4,3,1",-133.60000000000002
48,1,245,49.0,"3,0,3,4,3,1,2,4,3,2,1,4,4,4,4,4,3,0,0,3,3,0,0,0,1",-132.60000000000002
49,1,250,50.0,"0,1,4,0,2,4,0,3,2,0,4,1,1,3,1,1,2,1,4,3,3,2,3,0,4",-104.0
50,1,255,51.0,"4,1,2,3,4,0,2,3,2,1,0,0,4,2,2,0,4,0,4,0,4,3,4,0,3",-90.2
51,1,260,52.0,"1,0,0,2,0,3,2,3,2,0,4,4,1,3,4,1,4,0,3,3,4,1,4,4,0",-97.0
52,1,265,53.0,"0,3,3,4,2,4,4,3,2,0,4,4,0,2,0,0,1,0,4,3,3,2,0,2,4",-104.39999999999999
53,1,270,54.0,"0,4,1,2,2,0,0,1,2,1,3,4,2,0,0,2,2,3,2,0,0,2,3,1,0",-132.39999999999998
54,1,275,55.0,"0,4,1,0,3,0,4,1,0,0,4,4,3,1,4,0,2,0,2,3,0,3,0,2,4",-136.2
55,1,280,56.0,"0,3,0,4,0,2,0,4,2,0,0,4,1,0,0,2,4,4,0,0,4,3,1,4,0",-145.60000000000002
56,1,285,57.0,"1,0,3,4,4,0,4,0,0,3,0,0,4,1,3,0,0,4,2,0,2,0,0,0,4",-85.4
57,1,290,58.0,"1,1,1,4,4,1,3,2,3,1,4,2,0,0,1,0,4,2,4,2,1,4,2,2,0",-91.40000000000002
58,1,295,59.0,"2,4,4,4,2,0,1,3,0,1,4,1,2,2,0,3,1,3,2,1,2,0,1,0,0",-100.6
59,1,300,60.0,"3,0,2,0,2,1,3,0,0,1,0,4,4,3,0,1,0,3,1,0,2,0,2,3,0",-113.8
60,1,305,61.0,"0,0,1,4,0,0,0,0,1,4,4,1,1,1,0,2,3,2,2,0,2,0,3,4,0",-114.0
61,1,310,62.0,"3,4,0,2,2,3,0,4,2,0,2,4,0,3,0,1,3,0,4,2,2,2,3,0,0",-141.79999999999998
