,episode,id,depart_sec,arrival_sec,duration_sec,wait_step,wait_sec
0,1,f_0_4.0,0.00,78.00,78.00,2,18.00
1,1,f_0_4.1,9.00,157.00,148.00,5,77.00
2,1,f_0_4.2,17.00,159.00,142.00,3,73.00
3,1,f_0_4.3,25.00,168.00,143.00,6,58.00
4,1,f_0_2.0,0.00,174.00,174.00,4,29.00
5,1,f_0_4.4,33.00,178.00,145.00,6,61.00
6,1,f_0_4.5,41.00,179.00,138.00,5,57.00
7,1,f_0_1.0,0.00,201.00,201.00,4,101.00
8,1,f_0_0.0,0.00,206.00,206.00,6,77.00
9,1,f_0_4.6,50.00,208.00,158.00,6,81.00
10,1,f_0_3.1,9.00,209.00,200.00,4,33.00
11,1,f_0_4.7,58.00,210.00,152.00,7,68.00
12,1,f_0_4.8,66.00,212.00,146.00,9,48.00
13,1,f_0_0.1,14.00,216.00,202.00,6,62.00
14,1,f_0_1.1,14.00,223.00,209.00,5,78.00
15,1,f_0_4.9,74.00,223.00,149.00,9,56.00
16,1,f_0_4.10,82.00,225.00,143.00,7,44.00
17,1,f_0_4.11,91.00,238.00,147.00,7,63.00
18,1,f_0_5.1,9.00,239.00,230.00,5,74.00
19,1,f_0_1.2,28.00,253.00,225.00,7,90.00
20,1,f_0_1.3,41.00,255.00,214.00,9,88.00
21,1,f_0_4.12,99.00,259.00,160.00,8,71.00
22,1,f_0_4.13,107.00,261.00,154.00,9,58.00
23,1,f_0_5.3,25.00,268.00,243.00,6,67.00
24,1,f_0_4.14,115.00,278.00,163.00,6,78.00
25,1,f_0_5.0,0.00,283.00,283.00,5,125.00
26,1,f_0_5.4,33.00,285.00,252.00,5,89.00
27,1,f_0_1.4,55.00,287.00,232.00,9,103.00
28,1,f_0_2.1,14.00,288.00,274.00,5,136.00
29,1,f_0_4.15,123.00,288.00,165.00,7,77.00
30,1,f_0_2.2,28.00,290.00,262.00,7,116.00
31,1,f_0_0.2,28.00,291.00,263.00,8,114.00
32,1,f_0_5.2,17.00,292.00,275.00,6,126.00
33,1,f_0_3.3,25.00,305.00,280.00,6,124.00
34,1,f_0_5.6,50.00,308.00,258.00,9,98.00
35,1,f_0_4.16,131.00,318.00,187.00,7,90.00
36,1,f_0_4.17,140.00,319.00,179.00,6,78.00
37,1,f_0_5.5,41.00,320.00,279.00,7,86.00
38,1,f_0_3.2,17.00,325.00,308.00,7,117.00
39,1,f_0_2.3,41.00,325.00,284.00,6,160.00
40,1,f_0_3.11,91.00,326.00,235.00,7,63.00
41,1,f_0_5.13,107.00,328.00,221.00,6,60.00
42,1,f_0_3.4,33.00,333.00,300.00,10,135.00
43,1,f_0_3.5,41.00,334.00,293.00,9,124.00
44,1,f_0_3.12,99.00,343.00,244.00,7,80.00
45,1,f_0_0.8,110.00,343.00,233.00,8,77.00
46,1,f_0_5.15,123.00,348.00,225.00,5,69.00
47,1,f_0_0.9,123.00,351.00,228.00,7,61.00
48,1,f_0_5.7,58.00,354.00,296.00,12,118.00
49,1,f_0_1.5,69.00,357.00,288.00,8,163.00
50,1,f_0_1.6,82.00,359.00,277.00,10,147.00
51,1,f_0_1.7,96.00,362.00,266.00,9,127.00
52,1,f_0_1.8,110.00,363.00,253.00,8,117.00
53,1,f_0_4.18,148.00,363.00,215.00,6,106.00
54,1,f_0_4.19,156.00,365.00,209.00,8,108.00
55,1,f_0_4.20,164.00,366.00,202.00,9,98.00
56,1,f_0_0.4,55.00,367.00,312.00,9,139.00
57,1,f_0_0.5,69.00,369.00,300.00,10,126.00
58,1,f_0_3.14,115.00,374.00,259.00,10,89.00
59,1,f_0_2.5,69.00,376.00,307.00,7,159.00
60,1,f_0_2.6,82.00,379.00,297.00,10,127.00
61,1,f_0_0.3,41.00,381.00,340.00,10,185.00
62,1,f_0_2.4,55.00,382.00,327.00,10,151.00
63,1,f_0_4.21,172.00,383.00,211.00,9,105.00
64,1,f_0_1.9,123.00,385.00,262.00,9,142.00
65,1,f_0_3.15,123.00,388.00,265.00,6,78.00
66,1,f_0_1.10,137.00,388.00,251.00,9,126.00
67,1,f_0_3.6,50.00,390.00,340.00,8,160.00
68,1,f_0_4.22,181.00,393.00,212.00,8,107.00
69,1,f_0_4.23,189.00,395.00,206.00,8,120.00
70,1,f_0_3.22,181.00,396.00,215.00,5,43.00
71,1,f_0_3.0,0.00,398.00,398.00,12,224.00
72,1,f_0_1.11,150.00,401.00,251.00,8,135.00
73,1,f_0_2.7,96.00,402.00,306.00,8,146.00
74,1,f_0_5.8,66.00,404.00,338.00,15,155.00
75,1,f_0_5.9,74.00,414.00,340.00,10,155.00
76,1,f_0_5.12,99.00,416.00,317.00,9,136.00
77,1,f_0_3.7,58.00,418.00,360.00,9,177.00
78,1,f_0_5.14,115.00,419.00,304.00,11,121.00
79,1,f_0_1.12,164.00,422.00,258.00,9,119.00
80,1,f_0_4.24,197.00,423.00,226.00,8,131.00
81,1,f_0_4.25,205.00,425.00,220.00,6,115.00
82,1,f_0_0.10,137.00,435.00,298.00,8,140.00
83,1,f_0_0.6,82.00,437.00,355.00,11,190.00
84,1,f_0_4.26,213.00,438.00,225.00,7,116.00
85,1,f_0_4.27,221.00,440.00,219.00,8,113.00
86,1,f_0_0.7,96.00,446.00,350.00,12,169.00
87,1,f_0_1.13,178.00,447.00,269.00,9,122.00
88,1,f_0_3.8,66.00,448.00,382.00,11,186.00
89,1,f_0_5.10,82.00,449.00,367.00,13,168.00
90,1,f_0_4.28,230.00,449.00,219.00,9,108.00
91,1,f_0_4.29,238.00,451.00,213.00,7,91.00
92,1,f_0_4.30,246.00,452.00,206.00,6,86.00
93,1,f_0_4.31,254.00,454.00,200.00,5,107.00
94,1,f_1_4.0,300.00,456.00,156.00,4,77.00
95,1,f_0_0.11,150.00,460.00,310.00,13,143.00
96,1,f_0_0.12,164.00,463.00,299.00,13,116.00
97,1,f_0_5.16,131.00,469.00,338.00,10,148.00
98,1,f_0_1.14,191.00,471.00,280.00,10,129.00
99,1,f_0_1.15,205.00,474.00,269.00,10,124.00
100,1,f_0_5.19,156.00,476.00,320.00,9,125.00
101,1,f_0_1.16,219.00,476.00,257.00,9,127.00
102,1,f_0_1.17,232.00,477.00,245.00,8,115.00
103,1,f_0_5.17,140.00,484.00,344.00,12,132.00
104,1,f_0_5.11,91.00,487.00,396.00,11,192.00
105,1,f_0_5.18,148.00,489.00,341.00,17,138.00
106,1,f_0_3.16,131.00,490.00,359.00,12,164.00
107,1,f_0_0.13,178.00,490.00,312.00,12,125.00
108,1,f_0_5.23,189.00,492.00,303.00,9,119.00
109,1,f_0_0.14,191.00,492.00,301.00,9,138.00
110,1,f_0_5.21,172.00,495.00,323.00,14,108.00
111,1,f_0_5.22,181.00,498.00,317.00,9,123.00
112,1,f_0_4.36,299.00,498.00,199.00,7,120.00
113,1,f_0_0.15,205.00,501.00,296.00,10,112.00
114,1,f_0_3.9,74.00,503.00,429.00,12,202.00
115,1,f_0_3.17,140.00,510.00,370.00,12,168.00
116,1,f_0_4.32,262.00,512.00,250.00,8,159.00
117,1,f_0_5.20,164.00,513.00,349.00,15,141.00
118,1,f_0_5.25,205.00,519.00,314.00,10,147.00
119,1,f_0_2.8,110.00,520.00,410.00,12,220.00
120,1,f_0_3.23,189.00,520.00,331.00,6,166.00
121,1,f_0_3.10,82.00,523.00,441.00,14,214.00
122,1,f_0_5.24,197.00,523.00,326.00,10,130.00
123,1,f_0_5.29,238.00,524.00,286.00,12,105.00
124,1,f_0_3.13,107.00,525.00,418.00,13,196.00
125,1,f_0_5.26,213.00,529.00,316.00,8,120.00
126,1,f_0_5.30,246.00,533.00,287.00,12,80.00
127,1,f_0_3.18,148.00,534.00,386.00,10,209.00
128,1,f_0_5.27,221.00,538.00,317.00,10,110.00
129,1,f_0_5.35,287.00,541.00,254.00,9,66.00
130,1,f_0_2.9,123.00,551.00,428.00,13,225.00
131,1,f_0_2.10,137.00,554.00,417.00,14,196.00
132,1,f_1_2.2,316.00,556.00,240.00,6,76.00
133,1,f_0_5.28,230.00,558.00,328.00,10,117.00
134,1,f_1_2.3,324.00,563.00,239.00,6,54.00
135,1,f_0_3.19,156.00,569.00,413.00,13,222.00
136,1,f_0_5.31,254.00,569.00,315.00,14,94.00
137,1,f_0_5.36,295.00,579.00,284.00,9,116.00
138,1,f_0_3.24,197.00,580.00,383.00,12,177.00
139,1,f_0_3.25,205.00,582.00,377.00,12,163.00
140,1,f_0_4.33,271.00,583.00,312.00,11,206.00
141,1,f_1_5.0,300.00,588.00,288.00,10,108.00
142,1,f_1_5.1,305.00,591.00,286.00,11,115.00
143,1,f_0_4.34,279.00,593.00,314.00,9,199.00
144,1,f_1_2.4,332.00,594.00,262.00,9,72.00
145,1,f_1_4.6,364.00,608.00,244.00,7,149.00
146,1,f_0_2.11,150.00,616.00,466.00,18,242.00
147,1,f_1_1.3,324.00,616.00,292.00,13,107.00
