,episode,time_sec,step,action,reward
0,1,5,1.0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",-1.0
1,1,10,2.0,"2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0",0.0
2,1,15,3.0,"2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.0
3,1,20,4.0,"0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0",0.0
4,1,25,5.0,"0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0",-2.0
5,1,30,6.0,"1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0",0.0
6,1,35,7.0,"2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0",-1.4
7,1,40,8.0,"2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,0",-1.6
8,1,45,9.0,"0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0",-3.0
9,1,50,10.0,"2,0,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0",-3.0
10,1,55,11.0,"0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,2,2,0,0,2,0,0,0,0,0",0.0
11,1,60,12.0,"2,0,0,0,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0",-2.2
12,1,65,13.0,"0,0,2,2,2,0,0,0,1,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0",0.0
13,1,70,14.0,"1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,2,0,1,0,0,0,0",-3.8
14,1,75,15.0,"1,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0",-7.000000000000001
15,1,80,16.0,"0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0",-6.2
16,1,85,17.0,"1,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0",-3.8
