,episode,time_sec,step,action,reward
0,1,5,1.0,"2,0,4,0,3,0,2,0,4,1,2,4,1,1,4,1,0,0,4,3,3,4,4,0,1",0.0
1,1,10,2.0,"4,2,0,4,3,2,2,2,2,4,0,4,0,2,0,2,4,3,1,2,4,3,1,3,2",-3.4000000000000004
2,1,15,3.0,"1,1,0,0,4,2,0,3,3,1,2,1,4,1,4,3,2,4,3,0,3,1,3,2,3",-6.4
3,1,20,4.0,"3,2,0,0,2,4,0,1,3,0,1,2,2,3,3,3,3,0,0,4,2,2,0,1,3",-14.400000000000002
4,1,25,5.0,"3,0,0,0,2,4,3,1,0,4,2,1,2,2,3,3,3,3,3,0,2,1,1,2,0",-24.400000000000002
5,1,30,6.0,"3,0,0,0,0,0,0,2,3,4,2,4,3,0,1,1,3,4,2,1,0,2,2,4,2",-35.2
6,1,35,7.0,"1,1,0,4,0,0,3,2,4,0,0,1,4,0,1,1,1,2,4,4,2,1,3,4,0",-40.8
7,1,40,8.0,"2,3,1,3,0,2,2,2,2,0,0,1,3,0,0,3,0,3,0,3,2,4,0,3,1",-32.2
8,1,45,9.0,"3,0,4,4,4,4,4,3,0,2,3,0,4,3,2,2,2,4,1,0,2,2,1,1,4",-23.6
9,1,50,10.0,"2,0,2,4,3,2,0,1,0,4,0,3,3,0,3,0,2,1,1,0,1,0,2,0,4",-19.8
10,1,55,11.0,"1,0,1,0,2,1,1,2,3,0,0,2,2,2,4,1,3,4,4,2,3,3,0,1,3",-25.2
11,1,60,12.0,"2,1,0,4,3,4,1,2,0,1,0,0,4,3,3,2,0,2,3,4,4,1,2,1,2",-28.6
12,1,65,13.0,"3,1,0,0,3,3,1,2,1,3,2,3,3,3,3,0,2,1,2,4,4,3,1,3,3",-42.800000000000004
13,1,70,14.0,"1,0,4,1,0,2,0,2,3,4,3,4,1,1,0,1,1,2,2,4,4,1,0,0,2",-27.8
14,1,75,15.0,"3,0,0,0,3,4,2,2,0,0,2,2,1,4,4,0,3,4,2,0,0,2,0,4,2",-40.400000000000006
15,1,80,16.0,"2,0,1,2,1,1,2,4,0,0,0,3,0,1,3,1,0,1,3,3,2,4,0,0,3",-40.2
16,1,85,17.0,"0,3,1,0,4,0,2,2,0,0,2,1,0,4,4,1,1,2,2,1,4,1,0,3,0",-50.6
17,1,90,18.0,"3,1,1,3,1,2,3,3,2,1,4,3,4,2,0,2,1,0,0,2,3,3,0,4,4",-54.0
18,1,95,19.0,"1,4,0,2,4,3,4,2,0,3,2,3,3,3,1,0,2,2,2,2,0,0,0,1,0",-56.0
19,1,100,20.0,"0,1,4,4,0,2,0,3,0,0,4,0,3,2,3,1,2,0,0,0,2,2,3,2,3",-59.2
20,1,105,21.0,"0,4,1,2,3,1,0,0,0,0,2,3,0,0,4,0,3,0,2,1,2,3,0,1,3",-54.6
21,1,110,22.0,"1,3,0,3,0,1,0,3,0,0,2,2,0,2,4,2,2,1,3,4,4,0,1,3,0",-58.400000000000006
22,1,115,23.0,"0,4,0,4,4,4,2,3,2,0,3,2,1,2,4,2,3,1,1,1,3,0,4,3,0",-62.400000000000006
23,1,120,24.0,"0,3,3,2,3,0,3,2,4,4,0,2,0,0,0,1,1,4,2,1,0,4,1,0,1",-70.0
24,1,125,25.0,"3,0,0,0,0,3,3,2,0,0,1,3,0,0,4,3,2,0,1,2,2,0,2,1,0",-79.6
25,1,130,26.0,"1,4,2,3,4,1,0,0,3,2,4,2,1,3,3,2,3,2,2,3,4,0,1,1,2",-72.19999999999999
26,1,135,27.0,"2,0,0,2,3,2,0,1,2,0,0,0,0,0,0,0,3,0,2,3,0,3,1,0,3",-56.6
27,1,140,28.0,"0,3,0,0,3,1,0,2,3,4,1,1,0,4,4,2,0,3,1,4,3,0,3,1,0",-50.599999999999994
28,1,145,29.0,"0,1,1,4,3,2,2,0,1,0,0,2,3,0,4,1,1,4,1,1,4,0,2,4,4",-70.0
29,1,150,30.0,"3,4,0,0,0,2,2,2,1,3,2,3,1,3,1,2,3,2,0,2,4,0,2,1,0",-82.80000000000001
30,1,155,31.0,"0,3,0,4,4,4,0,2,3,0,1,2,3,0,2,0,3,0,2,3,1,3,0,2,3",-92.80000000000001
